R,Ricci2,Kretsch,Gnn,Gkp,Gkm,gtt,det,theta_p,theta_m,tidal_radial_adm,tidal_angular_adm,S_pass,W,q,E,A,T,r,rho_pass_coord,X,U,Bamp,worldline_norm,v_rel,gamma_rel,tidal_radial_pass,tidal_angular_pass,rho_adm,rho_world,j_l_adm,p_l_adm,p_th_adm,p_ph_adm,t,dtaudt,neg_nec,neg_rho_world,abs_tidal_pass,abs_flux,abs_pressure
8.470929862447705e-05,9.162951829114622e-09,3.0917974984865865e-08,-5.5798440186157635e-05,-0.00046497810766790324,-3.849152778898267e-06,-39791.18705979552,-1.7420976583806483e+17,-0.012562440272020444,0.001146630410301496,-2.1644883376703776e-06,-4.79943005803629e-05,0.999088948800398,0.9999781946485498,0.9999955974988521,0.9999546021312975,99.98793161035519,359.94447011373387,1.0770329614269007,1e-05,-0.39999999999999997,2.9994404239310386,2.9994404239310386,-129559.93550095765,0.0008150354835399917,1.0000003321415851,-2.1644883376703763e-06,-4.808833761648661e-05,-5.5798440186157635e-05,-5.598651425840506e-05,0.00011528223872225125,-0.00017861519003724313,1.9053725613304246e-05,1.9053725613304246e-05,-0.13351658154264945,359.9443505612467,0.0004688272604468015,5.598651425840506e-05,4.808833761648661e-05,0.00011528223872225125,0.00017861519003724313
8.086626535892564e-05,9.456082628585829e-09,3.219254331767296e-08,-6.210754624765499e-05,-0.0004904797621972712,-4.057658963207639e-06,-39800.84372400509,-1.6992472309199498e+17,-0.012156102808797673,0.0011093623449360322,-1.322161783022017e-06,-5.0609258572047904e-05,0.999088948800398,0.9999851870733218,0.9999950177913753,0.9999486245603497,99.99088445278554,359.9580567587014,1.0702804155717942,1e-05,-0.3814448426136242,2.999350881839571,2.999350881839571,-129569.71673934162,0.0008141598685776026,1.0000003314283106,-1.322161783022017e-06,-5.0708346928450076e-05,-6.210754624765499e-05,-6.230572296045934e-05,0.00012160552580851591,-0.00018516116433258447,2.1093676363001918e-05,2.1093676363001918e-05,-0.12733028513965594,359.9579374584503,0.0004945374211604788,6.230572296045934e-05,5.0708346928450076e-05,0.00012160552580851591,0.00018516116433258447
7.86176466983529e-05,9.753110414732355e-09,3.3408855636558106e-08,-6.688546470703382e-05,-0.0005108117683312214,-4.22192355066197e-06,-39810.18588361297,-1.658775405433353e+17,-0.01172142270749915,0.0010694709866573167,-8.053788701455109e-07,-5.269445459303237e-05,0.999088948800398,0.999989750627376,0.9999943617727209,0.9999418601954166,99.9926837841207,359.96633591283654,1.0638088912208232,1e-05,-0.36289028237261645,2.99924701574259,2.99924701574259,-129575.67672024577,0.0008159596526753899,1.0000003328952436,-8.053788701455109e-07,-5.2797879606431105e-05,-6.688546470703382e-05,-6.709231473383131e-05,0.00012664746119513983,-0.0001906313812339078,2.2564134914260498e-05,2.2564134914260498e-05,-0.12114398873666243,359.9662160817953,0.0005150336918818833,6.709231473383131e-05,5.2797879606431105e-05,0.00012664746119513983,0.0001906313812339078
7.730418695706885e-05,1.0046888056474418e-08,3.4581465940588705e-08,-7.073561694639782e-05,-0.0005279624479097503,-4.358359919782111e-06,-39819.82416003061,-1.6206776769751584e+17,-0.01126248624881464,0.0010273260813121962,-4.816173660049228e-07,-5.4453046529463634e-05,0.999088948800398,0.9999927767491376,0.9999936194046246,0.9999342055604543,99.9937354147471,359.9711747362392,1.0576235467101545,1e-05,-0.3443364147977472,2.999126535727605,2.999126535727605,-129579.15955926158,0.0008197771145461856,1.000000336017428,-4.816173660049227e-07,-5.456044569823314e-05,-7.073561694639782e-05,-7.095041528393684e-05,0.00013090102199749204,-0.0001954247869683684,2.3692491532450873e-05,2.3692491532450863e-05,-0.11495769233366894,359.97105377969154,0.0005323208078295324,7.095041528393684e-05,5.456044569823314e-05,0.00013090102199749204,0.0001954247869683684
7.654111974111183e-05,1.033484696533432e-08,3.571894313510854e-08,-7.400496675949951e-05,-0.0005430678595652483,-4.4762058369558555e-06,-39830.215325524114,-1.5849253589574403e+17,-0.010781882368763264,0.0009831587079408637,-2.7361083267042327e-07,-5.6000957898692494e-05,0.999088948800398,0.9999948150174212,0.9999927793305801,0.9999255435968906,99.99428716655763,359.97371349410776,1.0517294288834391,1e-05,-0.32578335067876824,2.998986786319932,2.998986786319932,-129580.98615701473,0.000825250674112216,1.0000003405195115,-2.736108326704232e-07,-5.611216948043072e-05,-7.400496675949951e-05,-7.422738992297597e-05,0.00013464791343207306,-0.0001997670659416025,2.461048972049555e-05,2.461048972049555e-05,-0.10877139593067543,359.97359091607643,0.0005475440654022042,7.422738992297597e-05,5.611216948043072e-05,0.00013464791343207306,0.0001997670659416025
7.610048953909933e-05,1.0615668574482397e-08,3.682490569238534e-08,-7.689386214722384e-05,-0.0005567767943278771,-4.580563472621153e-06,-39841.736386584475,-1.551476996619698e+17,-0.010281357977419466,0.0009371212354304663,-1.3565692544649182e-07,-5.7404224995663507e-05,0.999088948800398,0.9999962091105417,0.9999918287034187,0.9999157418888345,99.99449137574463,359.9746531162626,1.046131455233054,1e-05,-0.30723121851144536,2.998824688302401,2.998824688302401,-129581.66114280236,0.0008322029827374766,1.000000346281082,-1.356569254464918e-07,-5.751920710655541e-05,-7.689386214722384e-05,-7.712382636900766e-05,0.00013804905771381399,-0.00020378481675302525,2.5395232533351024e-05,2.539523253335103e-05,-0.10258509952768192,359.97452846389336,0.0005613573578004982,7.712382636900766e-05,5.751920710655541e-05,0.00013804905771381399,0.00020378481675302525
7.584503595645348e-05,1.0888227406357083e-08,3.789946116417579e-08,-7.951770885803322e-05,-0.0005694556843008813,-4.674100074066553e-06,-39854.73035416547,-1.52028494401446e+17,-0.009762195470486826,0.000889321738165093,-4.0317352641842024e-08,-5.869995474180905e-05,0.999088948800398,0.9999971769794134,0.9999907529905605,0.9999046506588776,99.99444171225814,359.97442460096937,1.0408343955717525,1e-05,-0.28868016732227303,2.998636671337078,2.998636671337078,-129581.49480865798,0.0008405757114645476,1.0000003532839505,-4.031735264184202e-08,-5.881874166160136e-05,-7.951770885803322e-05,-7.975528269761788e-05,0.0001411953960567037,-0.00020754718332944078,2.609221925747701e-05,2.609221925747701e-05,-0.09639880312468843,359.9742974278275,0.0005741297843749479,7.975528269761788e-05,5.881874166160136e-05,0.0001411953960567037,0.00020754718332944078
7.5690551541816e-05,1.1151284346228821e-08,3.8940354584199686e-08,-8.194207164382078e-05,-0.0005813052306319205,-4.758008542771396e-06,-39869.53595392658,-1.4912992013436694e+17,-0.009225433162477361,0.0008398439438344245,2.9145978316236933e-08,-5.9908246696522514e-05,0.999088948800398,0.9999978587576519,0.9999895357541001,0.9998921005056071,99.99419513694137,359.9732900409221,1.035842853315626,1e-05,-0.2701303699421036,2.998418595956178,2.998418595956178,-129580.67583453037,0.0008503914415999916,1.000000361582998,2.9145978316236927e-08,-6.003092544626937e-05,-8.194207164382078e-05,-8.218742914331448e-05,0.00014413680552228728,-0.00021108954794352516,2.6728462378944217e-05,2.6728462378944217e-05,-0.09021250672169492,359.97315988074774,0.0005860632391746919,8.218742914331448e-05,6.003092544626937e-05,0.00014413680552228728,0.00021108954794352516
7.558415907171088e-05,1.1403422015308301e-08,3.9943771821694605e-08,-8.420292932898732e-05,-0.0005924277225831518,-4.832553085322293e-06,-39886.50829160805,-1.46446967919356e+17,-0.00867199561174657,0.0007887588536165896,8.312825085570035e-08,-6.103906855784921e-05,0.999088948800398,0.9999983457694064,0.9999881584025794,0.9998778998505602,99.99378514367054,359.9714035521766,1.031161246463671,1e-05,-0.2515820267994349,2.998165663273528,2.998165663273528,-129579.31515208285,0.0008617315410207959,1.0000003712908312,8.312825085570035e-08,-6.116576685323028e-05,-8.420292932898732e-05,-8.445632591974943e-05,0.0001468987923744574,-0.00021442720850524974,2.732006005227576e-05,2.732006005227576e-05,-0.08402621031870142,359.9712698981446,0.0005972602756684741,8.445632591974943e-05,6.116576685323028e-05,0.0001468987923744574,0.00021442720850524974
7.549159745692256e-05,1.1643052568280723e-08,4.0904880981729426e-08,-8.631853150330244e-05,-0.0006028664690595065,-4.89737850360437e-06,-39906.03456658533,-1.4397475466515355e+17,-0.008102771452682445,0.0007361314798639336,1.2822417606829423e-07,-6.2096277203916e-05,0.999088948800398,0.9999986983203207,0.9999865999109068,0.9998618320586291,99.99322982249625,359.9688483742907,1.0267937883615534,1e-05,-0.23303537031504634,2.9978723105222587,2.9978723105222587,-129577.4726547413,0.0008747236447369844,1.000000382570947,1.2822417606829426e-07,-6.22271579859697e-05,-8.631853150330244e-05,-8.658029306740986e-05,0.00014949227263897556,-0.00021756339227825308,2.787663165901404e-05,2.787663165901404e-05,-0.07783991391570791,359.9687106607202,0.0006077638475631108,8.658029306740986e-05,6.22271579859697e-05,0.00014949227263897556,0.00021756339227825308
